100,Collective Computing for Scientific Big Data Analysis
101,A Parallel Algorithm for Compression of Big Next-Generation Sequencing Datasets
102,Comparison of hardware accelerators for some ALICE online computing applications
103,InterSense: Interconnect Performance Emulator for Future Scale-out Distributed Memory Applications
104,Fault tolerant MapReduce-MPI for HPC clusters
105,Examining recent many-core architectures and programming models using SHOC
106,GraphReduce: Large-Scale Graph Analytics on Accelerator-Based HPC Systems
107,Parallelizing the deflate compression algorithm on GPU
108,A time-energy performance analysis of MapReduce on heterogeneous systems with GPUs
109,A GPU Based SVM Method with Accelerated Kernel Matrix Calculation
110,SIMD parallel MCMC sampling with applications for big-data Bayesian analytics
111,Super-fast parallel eigenface implementation on GPU for face recognition
112,Parallel breadth first search on GPU clusters
113,Performance modeling in CUDA streams - A means for high-throughput data processing
114,K-Balanced sorting and skew join in MPI and MapReduce
115,CUDAGA: A portable parallel programming model for GPU cluster
116,A hybrid MPI+OpenMP application for processing big trajectory data
117,MPJ express meets YARN: Towards Java HPC on Hadoop systems
118,Big data analytics in the cloud: Spark on Hadoop vs MPI/OpenMP on Beowulf
119,On scalable data mining techniques for earth science
120,Reservoir simulation prototyping platform for high performance computing
121,Accelerating Apache Hive with MPI for Data Warehouse Systems
122,Accelerating IEEE 1857 Deblocking Filter on GPU Using CUDA
123,GPU accelerated dynamic functional connectivity analysis for functional MRI data
124,OpenDBDDAS toolkit: Secure MapReduce and Hadoop-like systems
125,Gerbil: MPI+YARN
126,A GPU-accelerated density-based clustering algorithm
127,Accelerating keyword search for big RDF web data on many-core systems
128,Big data conditional business rule calculations in multidimensional in-GPU-memory OLAP databases
129,Efficient implementation of apriori algorithm on HDFS using GPU
130,UNIO: A unified I/O system framework for hybrid scientific workflow
131,Optimize parallel data access in big data processing
132,FlexiMod: Flexible coexistence support for programming models
133,A faster and intelligent steganography detection using graphics processing unit in cloud
134,GPU implementation of the simplex identification via split augmented Lagrangian
135,A straightforward implementation of a GPU-accelerated ELM in R with NVIDIA graphic cards
136,Visual exploration of data with multithread MIC computer architectures
137,MapReduce: Simplified Data Analysis of Big Data
138,SoC-based pattern recognition systems for Non Destructive Testing
139,Handling big data efficiently by using map reduce technique
140,Enabling vehicular data with distributed machine learning
141,HPC in Big Data Age: An evaluation report for Java-based data-intensive applications implemented with hadoop and OpenMPI
142,Benchmarking Different MapReduce Implementations for Computer-Aided Hardware Development
143,A performance model of fast 2D-DCT parallel JPEG encoding using CUDA GPU and SMP-architecture
144,A failure recovery solution for transplanting high-performance data-intensive algorithms from the cluster to the cloud
145,SCALER: Scalable parallel file write in HDFS
146,DataMPI: Extending MPI to hadoop-like big data computing
147,Towards an energy-efficient tool for processing the big data
148,Design and optimization of a big data computing framework based on CPU/GPU cluster
149,Machine learning big data framework and analytics for big data problems
150,Efficient data classification by GPU-accelerated linear mean squared slack minimization
151,Scalable CAIM discretization on multiple GPUs using concurrent kernels
152,Performance benefits of dataMPI: A case study with bigdatabench
153,Performance Benefits of DataMPI: A Case Study with BigDataBench
154,Analysis and acceleration of NTRU lattice-based cryptographic system
155,Towards a collective layer in the big data stack
156,GPU-based regression analysis on sparse grids
157,MPI for Big Data: New tricks for an old dog
158,DSIMBench: A benchmark for microarray data using R
159,Fast multi-line detection and tracking with CUDA for vision-based UAV autopilot
160,Distributed stochastic ADMM for matrix factorization
161,Task-tree based large-scale mosaicking for massive remote sensed imageries with dynamic DAG scheduling
162,SDAFT: A novel scalable data access framework for parallel BLAST
163,Slam: Scalable Locality-Aware Middleware for I/O in scientific analysis and visualization
164,Connecting the dots: Triangle completion and related problems on large data sets using GPUs
165,Parallelizing K-means algorithm for 1-D data using MPI
166,Accelerating BIRCH for clustering large scale streaming data using CUDA dynamic parallelism
167,A CUDA-enabled hadoop cluster for fast distributed image processing
168,Lit: A high performance massive data computing framework based on CPU/GPU cluster
169,GPU accelerated item-based collaborative filtering for big-data applications
170,Experimental framework for searching large RDF on GPUs based on key-value storage
171,Hardware for big data"
172,Hash match on GPU
173,Distributed-memory parallel algorithms for generating massive scale-free networks using preferential attachment model
174,Using iterative MapReduce for parallel virtual screening
175,GPGPU-accelerated interesting interval discovery and other computations on GeoSpatial datasets - A summary of results
176,Distributed kernel matrix approximation and implementation using message passing interface
177,Particle swarm optimization-based impurity function band prioritization using weighted majority voting for feature extraction of high dimensional data sets
178,Driving big data with big compute
179,Performance model for parallel matrix multiplication with Dryad: Dataflow graph runtime
